key,column,pokeapi,pokedb,chosen
pure-incense,name_es,Incienso Puro,Incienso puro,Incienso Puro
razor-claw,name_it,Affilartigli,Affilartiglio,Affilartigli
tm01,name_ja,わざマシン０１,わざマシン００１,わざマシン０１
tm02,name_ja,わざマシン０２,わざマシン００２,わざマシン０２
tm03,name_ja,わざマシン０３,わざマシン００３,わざマシン０３
tm04,name_ja,わざマシン０４,わざマシン００４,わざマシン０４
tm05,name_ja,わざマシン０５,わざマシン００５,わざマシン０５
tm06,name_ja,わざマシン０６,わざマシン００６,わざマシン０６
tm07,name_ja,わざマシン０７,わざマシン００７,わざマシン０７
tm08,name_ja,わざマシン０８,わざマシン００８,わざマシン０８
tm09,name_ja,わざマシン０９,わざマシン００９,わざマシン０９
tm10,name_ja,わざマシン１０,わざマシン０１０,わざマシン１０
tm11,name_ja,わざマシン１１,わざマシン０１１,わざマシン１１
tm12,name_ja,わざマシン１２,わざマシン０１２,わざマシン１２
tm13,name_ja,わざマシン１３,わざマシン０１３,わざマシン１３
tm14,name_ja,わざマシン１４,わざマシン０１４,わざマシン１４
tm15,name_ja,わざマシン１５,わざマシン０１５,わざマシン１５
tm16,name_ja,わざマシン１６,わざマシン０１６,わざマシン１６
tm17,name_ja,わざマシン１７,わざマシン０１７,わざマシン１７
tm18,name_ja,わざマシン１８,わざマシン０１８,わざマシン１８
tm19,name_ja,わざマシン１９,わざマシン０１９,わざマシン１９
tm20,name_ja,わざマシン２０,わざマシン０２０,わざマシン２０
tm21,name_ja,わざマシン２１,わざマシン０２１,わざマシン２１
tm22,name_ja,わざマシン２２,わざマシン０２２,わざマシン２２
tm23,name_ja,わざマシン２３,わざマシン０２３,わざマシン２３
tm24,name_ja,わざマシン２４,わざマシン０２４,わざマシン２４
tm25,name_ja,わざマシン２５,わざマシン０２５,わざマシン２５
tm26,name_ja,わざマシン２６,わざマシン０２６,わざマシン２６
tm27,name_ja,わざマシン２７,わざマシン０２７,わざマシン２７
tm28,name_ja,わざマシン２８,わざマシン０２８,わざマシン２８
tm29,name_ja,わざマシン２９,わざマシン０２９,わざマシン２９
tm30,name_ja,わざマシン３０,わざマシン０３０,わざマシン３０
tm31,name_ja,わざマシン３１,わざマシン０３１,わざマシン３１
tm32,name_ja,わざマシン３２,わざマシン０３２,わざマシン３２
tm33,name_ja,わざマシン３３,わざマシン０３３,わざマシン３３
tm34,name_ja,わざマシン３４,わざマシン０３４,わざマシン３４
tm35,name_ja,わざマシン３５,わざマシン０３５,わざマシン３５
tm36,name_ja,わざマシン３６,わざマシン０３６,わざマシン３６
tm37,name_ja,わざマシン３７,わざマシン０３７,わざマシン３７
tm38,name_ja,わざマシン３８,わざマシン０３８,わざマシン３８
tm39,name_ja,わざマシン３９,わざマシン０３９,わざマシン３９
tm40,name_ja,わざマシン４０,わざマシン０４０,わざマシン４０
tm41,name_ja,わざマシン４１,わざマシン０４１,わざマシン４１
tm42,name_ja,わざマシン４２,わざマシン０４２,わざマシン４２
tm43,name_ja,わざマシン４３,わざマシン０４３,わざマシン４３
tm44,name_ja,わざマシン４４,わざマシン０４４,わざマシン４４
tm45,name_ja,わざマシン４５,わざマシン０４５,わざマシン４５
tm46,name_ja,わざマシン４６,わざマシン０４６,わざマシン４６
tm47,name_ja,わざマシン４７,わざマシン０４７,わざマシン４７
tm48,name_ja,わざマシン４８,わざマシン０４８,わざマシン４８
tm49,name_ja,わざマシン４９,わざマシン０４９,わざマシン４９
tm50,name_ja,わざマシン５０,わざマシン０５０,わざマシン５０
tm51,name_ja,わざマシン５１,わざマシン０５１,わざマシン５１
tm52,name_ja,わざマシン５２,わざマシン０５２,わざマシン５２
tm53,name_ja,わざマシン５３,わざマシン０５３,わざマシン５３
tm54,name_ja,わざマシン５４,わざマシン０５４,わざマシン５４
tm55,name_ja,わざマシン５５,わざマシン０５５,わざマシン５５
tm56,name_ja,わざマシン５６,わざマシン０５６,わざマシン５６
tm57,name_ja,わざマシン５７,わざマシン０５７,わざマシン５７
tm58,name_ja,わざマシン５８,わざマシン０５８,わざマシン５８
tm59,name_ja,わざマシン５９,わざマシン０５９,わざマシン５９
tm60,name_ja,わざマシン６０,わざマシン０６０,わざマシン６０
tm61,name_ja,わざマシン６１,わざマシン０６１,わざマシン６１
tm62,name_ja,わざマシン６２,わざマシン０６２,わざマシン６２
tm63,name_ja,わざマシン６３,わざマシン０６３,わざマシン６３
tm64,name_ja,わざマシン６４,わざマシン０６４,わざマシン６４
tm65,name_ja,わざマシン６５,わざマシン０６５,わざマシン６５
tm66,name_ja,わざマシン６６,わざマシン０６６,わざマシン６６
tm67,name_ja,わざマシン６７,わざマシン０６７,わざマシン６７
tm68,name_ja,わざマシン６８,わざマシン０６８,わざマシン６８
tm69,name_ja,わざマシン６９,わざマシン０６９,わざマシン６９
tm70,name_ja,わざマシン７０,わざマシン０７０,わざマシン７０
tm71,name_ja,わざマシン７１,わざマシン０７１,わざマシン７１
tm72,name_ja,わざマシン７２,わざマシン０７２,わざマシン７２
tm73,name_ja,わざマシン７３,わざマシン０７３,わざマシン７３
tm74,name_ja,わざマシン７４,わざマシン０７４,わざマシン７４
tm75,name_ja,わざマシン７５,わざマシン０７５,わざマシン７５
tm76,name_ja,わざマシン７６,わざマシン０７６,わざマシン７６
tm77,name_ja,わざマシン７７,わざマシン０７７,わざマシン７７
tm78,name_ja,わざマシン７８,わざマシン０７８,わざマシン７８
tm79,name_ja,わざマシン７９,わざマシン０７９,わざマシン７９
tm80,name_ja,わざマシン８０,わざマシン０８０,わざマシン８０
tm81,name_ja,わざマシン８１,わざマシン０８１,わざマシン８１
tm82,name_ja,わざマシン８２,わざマシン０８２,わざマシン８２
tm83,name_ja,わざマシン８３,わざマシン０８３,わざマシン８３
tm84,name_ja,わざマシン８４,わざマシン０８４,わざマシン８４
tm85,name_ja,わざマシン８５,わざマシン０８５,わざマシン８５
tm86,name_ja,わざマシン８６,わざマシン０８６,わざマシン８６
tm87,name_ja,わざマシン８７,わざマシン０８７,わざマシン８７
tm88,name_ja,わざマシン８８,わざマシン０８８,わざマシン８８
tm89,name_ja,わざマシン８９,わざマシン０８９,わざマシン８９
tm90,name_ja,わざマシン９０,わざマシン０９０,わざマシン９０
tm91,name_ja,わざマシン９１,わざマシン０９１,わざマシン９１
tm92,name_ja,わざマシン９２,わざマシン０９２,わざマシン９２
explorer-kit,name_de,Erkundungs-Set,Erkundungs-Set / Forschersack,Erkundungs-Set
poke-radar,name_ja,ポケトレ,ポケモントレーサー,ポケトレ
poke-radar,name_es,Pokéradar,Poké Radar,Pokéradar
point-card,name_fr,Carte Points,Carte à Points,Carte Points
point-card,name_es,Tarjeta Puntos,Tarj. Puntos,Tarjeta Puntos
pal-pad,name_es_419,Bloc amigos,Libreta de Amistades,Bloc amigos
works-key,name_es_419,Llave Central,Llave de la Central,Llave Central
old-charm,name_it,Arcamuleto,Arcamuleto / Amuleto antico,Arcamuleto
galactic-key,name_ko,갤럭시단의열쇠,갤럭시단의 열쇠,갤럭시단의열쇠
galactic-key,name_es,Llave Galaxia,Ll. Galaxia,Llave Galaxia
town-map,name_it,Mappa città,Mappa Città,Mappa città
vs-seeker,name_fr,Cherch’Combat,Cherch'Combat,Cherch’Combat
sprayduck,name_es_419,Psydugadera,Psyrregadera,Psydugadera
bicycle,name_es,Bici,Bicicleta,Bici
suite-key,name_fr,Clé Chambre,Clé de Chambre,Clé Chambre
suite-key,name_de,B-Schlüssel,Hotelschlüssel,B-Schlüssel
suite-key,name_es_419,Llave Suite,Llave de la Suite,Llave Suite
oaks-letter,name_it,Lettera Oak,Lettera di Oak,Lettera Oak
oaks-letter,name_ko,오박사의편지,오박사의 편지,오박사의편지
oaks-letter,name_es,Carta Prof. Oak,Carta del Prof. Oak,Carta Prof. Oak
member-card,name_es,Carné Socio,Tarjeta de Socio,Carné Socio
azure-flute,name_ko,천계의피리,천계의 피리,천계의피리
ss-ticket,name_it,Biglietto nave,Biglietto Nave,Biglietto nave
ss-ticket,name_es_419,Ticket Barco,Boleto del Barco,Ticket Barco
contest-pass,name_es,Pase Concurso,Pase de Concurso,Pase Concurso
magma-stone,name_ko,화산의돌,화산의 돌,화산의돌
storage-key,name_it,Depochiave,Chiave magazzino,Depochiave
storage-key,name_es_419,Llave Almacén,Llave del Almacén,Llave Almacén
griseous-orb,name_es_419,Griseosfera,Griseoesfera,Griseosfera
apricorn-box,name_fr,Boîte Noigrume,Bte Noigrume,Boîte Noigrume
berry-pots,name_fr,Plante-Baies,Plante Baies,Plante-Baies
squirt-bottle,name_es_419,Regadera,Squirregadera,Regadera
lure-ball,name_es_419,Cebo Ball,Señuelobola,Cebo Ball
level-ball,name_es_419,Nivel Ball,Nivelabola,Nivel Ball
moon-ball,name_es,Luna Ball,Lunabola,Luna Ball
heavy-ball,name_es_419,Peso Ball,Pesabola,Peso Ball
fast-ball,name_es_419,Rapid Ball,Rapibola,Rapid Ball
friend-ball,name_ko,프렌드볼,프랜드볼,프렌드볼
friend-ball,name_es_419,Amigo Ball,Amigobola,Amigo Ball
love-ball,name_es_419,Amor Ball,Amorbola,Amor Ball
park-ball,name_es_419,Parque Ball,Parquebola,Parque Ball
sport-ball,name_fr,Compét’Ball,Compét'Ball,Compét’Ball
sport-ball,name_ko,컴퍼티션볼,콤페볼,컴퍼티션볼
sport-ball,name_es_419,Competi Ball,Competibola,Competi Ball
dowsing-machine,name_fr,Cherch’Objet,Cherch'Objet,Cherch’Objet
dowsing-machine,name_it,Ricerca strum.,Ricerca Strumenti,Ricerca strum.
dowsing-machine,name_es_419,Zahorí,Detector,Zahorí
rage-candy-bar,name_es,Caramelo Furia,Caram. Furia,Caramelo Furia
red-orb,name_fr,Gemme Rouge,Orbe Rouge,Gemme Rouge
red-orb,name_de,Roter Edelstein,Rote Kugel,Roter Edelstein
red-orb,name_it,Gemma rossa,Sfera Rossa,Gemma rossa
red-orb,name_es,Prisma Rojo,Esfera Roja,Prisma Rojo
blue-orb,name_fr,Gemme Bleue,Orbe Bleu,Gemme Bleue
blue-orb,name_de,Blauer Edelstein,Blaue Kugel,Blauer Edelstein
blue-orb,name_it,Gemma blu,Sfera Blu,Gemma blu
blue-orb,name_es,Prisma Azul,Esfera Azul,Prisma Azul
unown-report,name_es_419,Bloc Unown,Tableta Unown,Bloc Unown
slowpoke-tail,name_es_419,Cola Slowpoke,Cola de Slowpoke,Cola Slowpoke
clear-bell,name_it,Campana Chiara,Campana chiara,Campana Chiara
lost-item,name_it,Strumento perso,Strumento Perso,Strumento perso
pass,name_es_419,Magnetopase,Pase del Tren,Magnetopase
machine-part,name_fr,Partie Machine,Partie Mach.,Partie Machine
gb-sounds,name_es_419,Lector GB,Reproductor GB,Lector GB
tidal-bell,name_es,Cascabel Oleaje,Cascabel Oleaje / Campana Oleaje,Cascabel Oleaje
data-card-01,name_fr,Carte Mémo01,Carte Mémo,Carte Mémo01
data-card-01,name_de,Datenkarte01,Datenkarte,Datenkarte01
data-card-01,name_it,Scheda Dati 01,Scheda Dati,Scheda Dati 01
data-card-01,name_ja,データカード０１,データカード,データカード０１
data-card-01,name_ko,데이터카드01,데이터카드,데이터카드01
data-card-01,name_es,Tarjeta Datos 01,Tarjeta de Datos,Tarjeta Datos 01
orange-mail,name_es,Car. Naranja,Carta Naranja,Car. Naranja
mech-mail,name_fr,Lettre Méca,Lettre Meca,Lettre Méca
tropic-mail,name_es,Car. Tropic.,Carta Tropical,Car. Tropic.
fab-mail,name_it,Mess. Lusso,Mess. Fab,Mess. Lusso
fab-mail,name_es,Carta Fab.,Carta Fabulosa,Carta Fab.
retro-mail,name_it,Mess. Rétro,Mess. Retro,Mess. Rétro
retro-mail,name_es,Carta Retro.,Carta Retro,Carta Retro.
mach-bike,name_fr,Vélo de Course,Vélo Course / Vélo de Course,Vélo de Course
mach-bike,name_it,Bici da corsa,Bici Corsa / Bici da corsa,Bici da corsa
mach-bike,name_es,Bici de Carreras,Bici Carrera / Bici de Carreras,Bici de Carreras
acro-bike,name_it,Bici da cross,Bici Cross,Bici da cross
wailmer-pail,name_fr,Wailmerrosoir,Seau Wailmer,Wailmerrosoir
wailmer-pail,name_es_419,Wailmegadera,Wailrregadera,Wailmegadera
soot-sack,name_es_419,Saco Hollín,Saco de Hollín,Saco Hollín
pokeblock-case,name_it,PortaPokémelle,Portapokémelle,PortaPokémelle
letter,name_fr,Lettre à Pierre,Lettre,Lettre à Pierre
letter,name_de,Brief an Troy,Brief,Brief an Troy
letter,name_es_419,Carta a Máximo,Carta para Steven,Carta a Máximo
eon-ticket,name_es_419,Ticket Eón,Boleto Eón,Ticket Eón
go-goggles,name_es_419,Gafas Aislantes,Lentes Aislantes,Gafas Aislantes
poke-flute,name_fr,Poké Flûte,Poké Flute,Poké Flûte
poke-flute,name_es,Poké Flauta,Pokéflauta,Poké Flauta
bike-voucher,name_de,Rad-Coupon,Rad Coupon,Rad-Coupon
gold-teeth,name_fr,Dentier en Or,Dent d'Or / Dentier en Or,Dentier en Or
gold-teeth,name_de,Goldenes Gebiss,Goldzähne / Goldenes Gebiss,Goldenes Gebiss
gold-teeth,name_it,Denti d’oro,Denti d'oro,Denti d’oro
gold-teeth,name_es,Dentadura de Oro,Dientes Oro / Dentadura de Oro,Dentadura de Oro
lift-key,name_es,Llave Ascensor,Llave del Elevador,Llave Ascensor
silph-scope,name_es,Visor Silph,Scope Silph,Visor Silph
tm-case,name_fr,Boîte CT,Boite CT / Boîte CT,Boîte CT
tm-case,name_de,TM-Box,VM/TM Box / TM-Box,TM-Box
tm-case,name_it,Porta MT,Porta MT-MN / Porta MT,Porta MT
tm-case,name_es,Estuche de MT,Tubo MT-MO / Estuche de MT,Estuche de MT
teachy-tv,name_it,Pokétivù,PokéTivù,Pokétivù
tri-pass,name_it,Tris Pass,Tri-Pass,Tris Pass
old-sea-map,name_fr,Vieillecarte,Vieille Carte,Vieillecarte
like-mail,name_it,Mess. Sugg.,Messaggio Consiglio,Mess. Sugg.
reply-mail,name_it,Mess. Risp.,Messaggio Risposta,Mess. Risp.
prism-scale,name_fr,Bel’Écaille,Bel'Écaille,Bel’Écaille
eviolite,name_es_419,Mineral Evol,Mineral Evolutivo,Mineral Evol
air-balloon,name_es_419,Globo Helio,Globo con Helio,Globo Helio
eject-button,name_es_419,Botón Escape,Botón de Escape,Botón Escape
electric-gem,name_es_419,Gema Eléctrica,Gema Eléctrico,Gema Eléctrica
fighting-gem,name_es_419,Gema Lucha,Gema Pelea,Gema Lucha
flying-gem,name_es_419,Gema Voladora,Gema Volador,Gema Voladora
psychic-gem,name_es_419,Gema Psíquica,Gema Psíquico,Gema Psíquica
bug-gem,name_es_419,Gema Bicho,Gema Insecto,Gema Bicho
dark-gem,name_es_419,Gema Siniestra,Gema Siniestro,Gema Siniestra
health-wing,name_fr,Plume Santé,Plume Santé / Aile Santé,Plume Santé
health-wing,name_ko,체력깃털,체력날개,체력깃털
health-wing,name_es,Pluma Vigor,Pluma Vigor / P. Vigor,Pluma Vigor
muscle-wing,name_ko,근력깃털,근력날개,근력깃털
resist-wing,name_ko,저항력깃털,저항력날개,저항력깃털
genius-wing,name_ko,지력깃털,지력날개,지력깃털
clever-wing,name_ko,정신력깃털,정신력날개,정신력깃털
swift-wing,name_ko,순발력깃털,순발력날개,순발력깃털
pretty-wing,name_ko,고운깃털,고운날개,고운깃털
cover-fossil,name_es_419,Fósil Tapa,Cubierta Fósil,Fósil Tapa
pass-orb,name_es_419,Regalosfera,Regaloesfera,Regalosfera
dream-ball,name_es_419,Ensueño Ball,Ensueñobola,Ensueño Ball
dragon-skull,name_es_419,Cráneo Dragón,Cráneo de Dragón,Cráneo Dragón
balm-mushroom,name_es_419,Seta Aroma,Hongo Aroma,Seta Aroma
big-nugget,name_es_419,Maxipepita,Maxipepita de Oro,Maxipepita
pearl-string,name_es_419,Sarta Perlas,Cordón de Perlas,Sarta Perlas
relic-copper,name_es_419,Real Cobre,Reliquia de Cobre,Real Cobre
relic-silver,name_es_419,Real Plata,Reliquia de Plata,Real Plata
relic-gold,name_es_419,Real Oro,Reliquia de Oro,Real Oro
relic-vase,name_es_419,Ánfora,Ánfora Antigua,Ánfora
relic-band,name_es_419,Brazal,Brazalete Antiguo,Brazal
relic-statue,name_es_419,Efigie Antigua,Estatua Antigua,Efigie Antigua
x-sp-atk-2,name_ja,ＳＰアップ２,スペシャルアップ２,ＳＰアップ２
x-sp-def-2,name_ja,ＳＰガード２,スペシャルガード２,ＳＰガード２
x-sp-atk-3,name_ja,ＳＰアップ３,スペシャルアップ３,ＳＰアップ３
x-sp-def-3,name_ja,ＳＰガード３,スペシャルガード３,ＳＰガード３
x-sp-atk-6,name_ja,ＳＰアップ６,スペシャルアップ６,ＳＰアップ６
x-sp-def-6,name_ja,ＳＰガード６,スペシャルガード６,ＳＰガード６
dark-stone,name_es_419,Orbe Oscuro,Orbe Oscuro / Roca Oscura,Orbe Oscuro
tm93,name_ja,わざマシン９３,わざマシン０９３,わざマシン９３
tm94,name_ja,わざマシン９４,わざマシン０９４,わざマシン９４
tm95,name_ja,わざマシン９５,わざマシン０９５,わざマシン９５
medal-box,name_it,Box Premi,Box premi,Box Premi
medal-box,name_es_419,Caja Insignias,Caja de Insignias,Caja Insignias
grubby-hanky,name_ko,더러운손수건,더러손수건,더러운손수건
colress-machine,name_es_419,Acromáquina,Máquina de Colress,Acromáquina
dropped-item,name_it,Oggetto perso,Oggetto Perso,Oggetto perso
weakness-policy,name_es,Seguro Debilidad,Seguro de Debilidad,Seguro Debilidad
pixie-plate,name_es_419,Tabla Duende,Placa Feérica,Tabla Duende
ability-capsule,name_de,Fähigk.-Kapsel,Fähigkeiten-Kapsel,Fähigk.-Kapsel
ability-capsule,name_it,Capsula abilità,Capsula Abilità,Capsula abilità
ability-capsule,name_es_419,Cáps. Habilidad,Cápsula Habilidad,Cáps. Habilidad
whipped-dream,name_es_419,Dulce de Nata,Bocadito de Crema,Dulce de Nata
sachet,name_it,Bustina aromi,Bustina Aromi,Bustina aromi
sachet,name_es_419,Saquito Fragante,Bolsita Fragante,Saquito Fragante
safety-goggles,name_es_419,Gafa Protectora,Visor Protector,Gafa Protectora
ampharosite,name_de,Ampharosnit,Ampharosonit,Ampharosnit
venusaurite,name_ko,이상해꽃나이트,이상해꽃나이,이상해꽃나이트
charizardite-x,name_ja,リザードナイトＸ,リザードナイトX,リザードナイトＸ
mewtwonite-x,name_ja,ミュウツナイトＸ,ミュウツナイトX,ミュウツナイトＸ
mewtwonite-y,name_ja,ミュウツナイトＹ,ミュウツナイトY,ミュウツナイトＹ
medichamite,name_ko,요가램나이트,전룡나이트,요가램나이트
charizardite-y,name_ja,リザードナイトＹ,リザードナイトY,リザードナイトＹ
discount-coupon,name_es_419,Vale Descuento,Cupón de Descuento,Vale Descuento
lumiose-galette,name_es_419,Crêpe Luminalia,Galette Luminalia,Crêpe Luminalia
fairy-gem,name_ja,ようせいジュエル,フェアリージュエル,ようせいジュエル
adventure-rules,name_it,Guida Avventura,Guida avventura,Guida Avventura
adventure-rules,name_es_419,Guía de Aventura,Guía de Aventuras,Guía de Aventura
elevator-key,name_ja,エレベータのキー,エレベーターのキー,エレベータのキー
